user,text,refined
rachayita_giri,b'@rishabhk_ https://t.co/uPULY01TrS',
VasuGhs,b'@rishabhk_ https://t.co/H97L4S3rLl',
VasuGhs,"b'@nikitab #PETS17 part2 privacy means having rights to add, delete and update each and every copy of data about me over internet. @rishabhk_'",pets17 part2 privaci mean right add delet updat everi copi data internet
VasuGhs,"b""#PETS17 part1 Privacy meaning defining \nWho can have data about me?\nWho can share data about me?\nWho can't have data about me?\n@rishabhk_""",pets17 part1 privaci mean defin who data who share data who cant data
VasuGhs,b'Enriched and enlightened experience #PSOSmatIIITH ~ https://t.co/XJS7AWapDX /cc @ponguru @rishabhk_ @Srishti_Gupta14 https://t.co/nnhNhHKmox',enrich enlighten experi psosmatiiith
adgpi,"b'To commemorate Kargil Vijay Diwas, a 15 day 1100 Kms, Trans Himalayan Cycling Expedition,was  flagged off by Lt Gen\xe2\x80\xa6 https://t.co/D6jDeK1gQS'",To commemor kargil vijay diwa day km tran himalayan cycl expeditionwa flag Lt gen…
ponguru,b'My Masters student @SrishtiChandok defended her thesis on #User #Identities #Linkability https://t.co/pe1qikg3Lc\xe2\x80\xa6 https://t.co/xHKmJBlHlV',My master student defend thesi user ident linkabl
ponguru,b'#PrecogsRock https://t.co/qQmMAF41Ae',precogsrock
ponguru,b'Was Charminarishly delightful to catch-up with @IIITDelhi Allums / Current students / RA in Hyderabad.\xe2\x80\xa6 https://t.co/kycrZFtV4K',wa charminarishli delight catchup allum current student RA hyderabad…
KalamCenter,"b""Remembering Dr. A.P.J. Abdul Kalam, nation's beloved TEACHER, the guru of gurus, on the occasion of Guru Purnima. https://t.co/nB1KUnvYad""",rememb Dr apj abdul kalam nation belov teacher guru guru occas guru purnima
RachitUppal,"b'Only 3% of working population pays tax, rest all party. \xf0\x9f\x92\xb8\xf0\x9f\x92\xb8\xf0\x9f\x92\xb8 Tax cheats to get SMS now followed by raids. \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xe2\x80\xa6 https://t.co/GegqK1u0To'",onli work popul pay tax rest parti tax cheat get sm follow raid
prateekdewan,"b'""Anyone can do my job, but no one can be me.""\n- Someone\n#someonesquotes'",anyon job one someon someonesquot
PMOIndia,b'We are being challenged by forces of terror. We have agreed to cooperate in this area: @IsraeliPM @netanyahu #IndiaIsraelFriendship',We challeng forc terror We agre cooper area indiaisraelfriendship
Srishti_Gupta14,"b'Another insightful session on Clickbaits and Modeling User Interests by Prof. Niloy Ganguly, IITKgp @gangulyniloy\xe2\x80\xa6 https://t.co/8h7nXYc0AM'",anoth insight session clickbait model user interest prof niloy ganguli iitkgp
anweshsatapathy,"b'Day3 of #PSOSMatIIITH @iiit_hyderabad. Dr. Niloy Ganguly\'s talk on Computational Journalism is eye-catching.I am ""click-baited"" actually\xf0\x9f\x99\x82'",day3 psosmatiiith Dr niloy ganguli talk comput journal eyecatchingi clickbait actually
dakshyani_singh,b'#Day3 #Session 1 with Dr. Niloy Ganguly \n#PSOSMatIIITH https://t.co/2xnpJHxh6G',day3 session Dr niloy ganguli psosmatiiith
ponguru,"b'Prof. @gangulyniloy talking on ""Computational Journalism - Some Aspects"" #PSOSMatIIITH Watch the talk live at\xe2\x80\xa6 https://t.co/Mt2l5qEOPe'",prof talk comput journal some aspect psosmatiiith watch talk live at…
anweshsatapathy,"b'Day2 over. Got a front seat in viewing @ponguru teach with a chalkpiece. Apparently,the last time was 7 years ago !\xe2\x80\xa6 https://t.co/SXriSKZvK3'",day2 got front seat view teach chalkpiec apparentlyth last time year ago
ponguru,"b'Prof. Anupam Joshi @ebiquity @umbc giving a talk on ""Privacy and Security in Social Networks"" #PSOSMatIIITH https://t.co/MLeLNqtG0I'",prof anupam joshi give talk privaci secur social network psosmatiiith
dakshyani_singh,b'Day 2 Session 1 with @KushagraBharga1  #psosmatiiith https://t.co/rl6MJVONSk',day session psosmatiiith
chhavi_dua,b'The concentration of intelligence..\nA lab such as this makes u want to work..\n#psosmatiiith https://t.co/Y0galmeJXm',the concentr intellig A lab make u want work psosmatiiith
himani_sharma9,"b'#PSOSMatIIITH , Rob Sheraman @facebook #policies to Krishna Gummadi #OpenChallenge  and #SocialNetworkAnalysis with Manish Gupta@Microsoft'",psosmatiiith rob sheraman polici krishna gummadi openchalleng socialnetworkanalysi manish gupta
